99999,100001
100002,100008
100014,100016
100024,100026
100017,100023
100009,100011
100019,100021
100017,100023
100007,100013
100002,100008
100012,100018
100004,100006
100012,100018
100017,100023
100007,100013
100014,100016
100019,100021
100007,100013
100014,100016
100019,100021
100024,100026
100017,100023
100014,100016
100009,100011
99999,100001
99987,99993
99999,100001
100004,100006
100002,100008
100012,100018
100007,100013
100019,100021
100007,100013
99997,100003
100007,100013
100002,100008
100004,100006
99994,99996
100002,100008
99997,100003
99997,100003
99989,99991
99979,99981
99974,99976
99974,99976
99984,99986
99989,99991
99987,99993
99992,99998
99987,99993
99994,99996
99997,100003
100002,100008
100004,100006
100004,100006
100012,100018
100019,100021
100022,100028
100034,100036
100027,100033
100022,100028
100012,100018
100004,100006
100014,100016
100012,100018
100004,100006
99992,99998
99982,99988
99972,99978
99962,99968
99962,99968
99974,99976
99969,99971
99979,99981
99969,99971
99969,99971
99962,99968
99952,99958
99957,99963
99964,99966
99952,99958
99944,99946
99944,99946
99949,99951
99952,99958
99959,99961
99947,99953
99959,99961
99962,99968
99969,99971
99964,99966
99957,99963
99949,99951
99947,99953
99954,99956
99954,99956
99964,99966
99974,99976
99984,99986
99979,99981
99979,99981
99982,99988
99994,99996
99982,99988
99982,99988
99989,99991
99977,99983
99984,99986
99987,99993
99987,99993
99977,99983
99967,99973
99964,99966
99974,99976
99977,99983
99984,99986
99987,99993
99982,99988
99972,99978
99984,99986
99974,99976
99984,99986
99992,99998
99987,99993
99987,99993
99977,99983
99974,99976
99972,99978
99967,99973
99959,99961
99947,99953
99952,99958
99942,99948
99934,99936
99927,99933
99939,99941
99929,99931
99934,99936
99939,99941
99939,99941
99939,99941
99949,99951
99959,99961
99967,99973
99957,99963
99947,99953
99937,99943
99937,99943
99929,99931
99917,99923
99924,99926
99924,99926
99934,99936
99944,99946
99944,99946
99947,99953
99942,99948
99939,99941
99929,99931
99932,99938
99939,99941
99934,99936
99944,99946
99934,99936
99929,99931
99937,99943
99934,99936
99922,99928
99922,99928
99917,99923
99927,99933
99927,99933
99934,99936
99924,99926
99912,99918
99907,99913
99904,99906
99892,99898
99887,99893
99877,99883
99874,99876
99879,99881
99874,99876
99879,99881
99882,99888
99884,99886
99894,99896
99889,99891
99877,99883
99872,99878
99872,99878
99862,99868
99869,99871
99857,99863
99852,99858
99857,99863
99854,99856
99859,99861
99857,99863
99862,99868
99867,99873
99869,99871
99874,99876
99867,99873
99879,99881
99882,99888
